min_area,kernel_size,iterations,F1,IoU,Precision,Recall
75,7,1,0.8199928596923812,0.6949049981838377,0.8992952231779181,0.7535433070856253
75,7,2,0.8455363998039745,0.7324062877862969,0.9030863277159638,0.7948818897627364
75,9,1,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
75,9,2,0.851240815194197,0.7410089307256323,0.902145166028648,0.8057742782141657
75,11,1,0.8383199887618779,0.7216444981853426,0.901783016015561,0.783202099736505
75,11,2,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
100,0,1,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
100,0,2,0.7748309932391539,0.632427843802289,0.8928265707911439,0.6843832020988394
100,3,1,0.7840825350031068,0.6448484848477032,0.8941176470573208,0.6981627296578764
100,3,2,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
100,5,1,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
100,5,2,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
100,7,1,0.8199928596923812,0.6949049981838377,0.8992952231779181,0.7535433070856253
100,7,2,0.8455363998039745,0.7324062877862969,0.9030863277159638,0.7948818897627364
100,9,1,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
100,9,2,0.851240815194197,0.7410089307256323,0.902145166028648,0.8057742782141657
100,11,1,0.8383199887618779,0.7216444981853426,0.901783016015561,0.783202099736505
100,11,2,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
150,0,1,0.7611177884609667,0.6143584768365093,0.8900210822190969,0.6648293963245868
150,0,2,0.7611177884609667,0.6143584768365093,0.8900210822190969,0.6648293963245868
150,3,1,0.7840825350031068,0.6448484848477032,0.8941176470573208,0.6981627296578764
150,3,2,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
150,5,1,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
150,5,2,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
150,7,1,0.8199928596923812,0.6949049981838377,0.8992952231779181,0.7535433070856253
150,7,2,0.8455363998039745,0.7324062877862969,0.9030863277159638,0.7948818897627364
150,9,1,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
150,9,2,0.851240815194197,0.7410089307256323,0.902145166028648,0.8057742782141657
150,11,1,0.8383199887618779,0.7216444981853426,0.901783016015561,0.783202099736505
150,11,2,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
200,0,1,0.7611177884609667,0.6143584768365093,0.8900210822190969,0.6648293963245868
200,0,2,0.7611177884609667,0.6143584768365093,0.8900210822190969,0.6648293963245868
200,3,1,0.7840825350031068,0.6448484848477032,0.8941176470573208,0.6981627296578764
200,3,2,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
200,5,1,0.8041102829431911,0.6723950139166496,0.8962735925134759,0.7291338582667597
200,5,2,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
200,7,1,0.8199928596923812,0.6949049981838377,0.8992952231779181,0.7535433070856253
200,7,2,0.8455363998039745,0.7324062877862969,0.9030863277159638,0.7948818897627364
200,9,1,0.8351292344525423,0.7169286577984075,0.901200790392307,0.7780839895002912
200,9,2,0.851240815194197,0.7410089307256323,0.902145166028648,0.8057742782141657
200,11,1,0.8383199887618779,0.7216444981853426,0.901783016015561,0.783202099736505
200,11,2,0.8590806330061936,0.7529722589158724,0.8986670488735865,0.8228346456682115
